"STU_ID","X1SES","X1MTHEFF","X1TXMTSCOR","X3TGPAMAT"
"10283",0.3474,1.62,64.0675,2.5
"10284",-0.6014,-0.58,62.2617,2
"10285",-0.2233,1.21,57.2458,1.5
"10288",-0.7426,-7,53.3906,1
"10290",1.0467,1.62,65.308,3.5
"10291",0.4976,0.1,48.3287,1
"10294",0.5518,1.62,64.3825,1
"10299",-0.452,-0.29,53.1339,2.5
"10301",0.257,-0.58,37.461,1.5
"10304",1.0639,0.1,43.5211,2.5
"10305",-1.0282,-0.17,55.5727,1
"10306",-1.4015,-1.68,39.7401,3.5
"10309",-0.056,-1.14,36.7248,2
"10310",-0.3751,-9,41.2652,3.5
"10315",0.4571,-0.34,49.5257,2.5
"10317",0.7185,1.21,61.2309,2.5
"10322",1.4893,-0.58,53.7547,3
"10323",-0.2213,0.1,34.0761,1.5
"10324",0.7921,-0.29,51.8666,1.5
"10326",2.007,1.62,75.0439,4
"10327",-0.8061,0.1,35.4759,1.5
"10330",-0.4794,0.1,47.4455,3
"10331",0.3282,-0.17,58.7895,3
"10332",0.6766,1.62,55.1363,2.5
"10333",-1.5119,-7,48.7074,0.5
"10334",0.4939,-0.34,49.6469,2
"10336",0.0885,0.1,58.6335,2
"10339",-0.3118,0.1,51.1632,1.5
"10340",0.4099,-0.56,53.9253,1.5
"10343",-0.8471,0.51,53.9395,3
"10344",0.0502,-0.17,54.7217,1.5
"10346",0.1658,-0.17,51.3474,1.5
"10351",0.1757,0.51,32.7682,0.5
"10352",0.1491,0.1,49.4722,3
"10353",-1.1012,0.1,43.2347,2
"10354",-0.2903,0.1,46.3804,3
"10355",2.0667,-7,63.0899,4
"10361",-0.4024,0.1,57.9484,3
"10362",-0.6665,-1.41,47.5221,0.5
"10363",2.3852,-0.97,60.6167,2.5
"10364",-0.1942,0.16,62.869,3.5
"10365",1.3874,-0.75,63.1653,2.5
"10366",-0.6411,-1.7,50.0945,3
"10367",-0.3113,1.62,44.0846,1.5
"10369",0.2011,0.55,49.7845,3.5
"10372",2.4948,1.62,60.3602,3
"10373",0.5303,0.95,67.0259,4
"10375",0.6088,-0.17,48.5716,2
"10376",1.3761,0.1,54.5932,3
"10377",-0.601,-0.56,42.744,1
"10379",1.0802,0.1,50.0938,4
"10383",1.0162,0.9,75.4732,3.5
"10385",1.1209,-0.29,65.2668,3.5
"10386",1.3874,-0.58,62.5478,3.5
"10390",1.5402,0.77,61.931,3
"10392",1.0439,1.62,61.5068,2.5
"10393",1.6071,-0.58,51.5223,3
"10394",1.0698,1.62,65.3406,2.5
"10396",0.5109,1.34,60.2794,4
"10398",0.0147,-7,52.7865,1
"10399",-0.0227,-1.36,50.4225,2
"10400",0.7403,0.95,65.9557,4
"10402",0.8577,1.07,55.2831,2
"10403",-0.4522,0.1,55.4022,1
"10404",0.9735,1.62,63.518,3
"10405",-0.0993,0.1,47.0685,1.5
"10406",0.3213,-1,40.3214,2
"10408",-0.3594,-0.17,49.187,1
"10409",1.3204,0.51,55.1141,3
"10411",1.0151,0.1,57.2352,3.5
"10412",-0.7606,0.55,37.6426,2
"10414",0.3765,0.1,55.1866,3
"10415",-0.5439,1.62,49.5006,2
"10417",1.2036,1.62,52.91,3.5
"10418",-0.1342,-0.61,45.0642,2
"10419",0.9661,1.62,70.54,3
"10421",-0.5656,-7,38.7642,1
"10424",-0.6931,0.1,44.9464,0.25
"10425",0.3094,1.62,55.8075,4
"10426",-0.0306,-0.17,36.6499,0.5
"10428",-0.1121,-7,44.0551,1.5
"10430",0.6725,0.1,49.9718,3
"10431",-0.43,-0.85,42.0147,2.5
"10433",-0.0817,-1.41,60.0716,3
"10435",-0.3755,0.95,30.0956,1.5
"10436",0.494,-0.88,47.562,1.5
"10437",1.6709,0.1,60.9543,3
"10439",-0.43,-2.92,46.9852,1.5
"10440",0.2028,-1.39,29.6709,1.5
"10445",0.6538,1.62,60.0417,3.5
"10446",-0.8685,-1.41,43.6101,1.5
"10447",-0.8993,-0.58,45.1208,3.5
"10448",0.4745,0.1,66.4937,3.5
"10449",1.567,0.55,57.9443,3
